,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,USA,560433,133,22115,10,32634,505684,11766,1693.0,67.0
1,Spain,169496,2665,17489,280,64727,87280,7371,3625.0,374.0
2,Italy,156363,0,19899,0,34211,102253,3343,2586.0,329.0
3,France,132591,0,14393,0,27186,91012,6845,2031.0,221.0
4,Germany,127854,0,3022,0,64300,60532,4895,1526.0,36.0
5,UK,84279,0,10612,0,0,73323,1559,1241.0,156.0
6,Iran,73303,1617,4585,111,45983,22735,3877,873.0,55.0
7,Turkey,56956,0,1198,0,3446,52312,1665,675.0,14.0
8,Belgium,30589,942,3903,303,6707,19979,1234,2639.0,337.0
9,Netherlands,26551,964,2823,86,250,23478,1384,1550.0,165.0
10,Switzerland,25503,88,1117,11,12700,11686,386,2947.0,129.0
11,Canada,24383,0,717,0,7172,16494,557,646.0,19.0
12,Brazil,22318,126,1241,18,173,20904,296,105.0,6.0
13,Russia,18328,2558,148,18,1470,16710,8,126.0,1.0
14,Portugal,16934,349,535,31,277,16122,188,1661.0,52.0
15,Austria,13998,53,368,18,7343,6287,239,1554.0,41.0
16,Israel,11235,90,110,7,1689,9436,181,1298.0,13.0
17,Sweden,10948,465,919,20,381,9648,859,1084.0,91.0
18,S. Korea,10537,25,217,3,7447,2873,55,206.0,4.0
19,Ireland,9655,0,334,0,25,9296,194,1955.0,68.0
20,India,9240,35,331,0,1096,7813,0,7.0,0.2
21,Peru,7519,0,193,0,1798,5528,134,228.0,6.0
22,Ecuador,7466,0,333,0,501,6632,184,423.0,19.0
23,Japan,7370,0,123,0,784,6463,129,58.0,1.0
24,Chile,7213,0,80,0,2059,5074,387,377.0,4.0
25,Poland,6674,0,232,0,439,6003,160,176.0,6.0
26,Romania,6633,333,318,2,914,5401,231,345.0,17.0
27,Norway,6525,0,128,0,32,6365,59,1204.0,24.0
28,Australia,6359,46,61,2,3494,2804,79,249.0,2.0
29,Denmark,6318,144,285,12,2235,3798,100,1091.0,49.0
30,Czechia,5991,0,139,1,467,5385,87,559.0,13.0
31,Pakistan,5374,144,93,2,1095,4186,44,24.0,0.4
32,Philippines,4932,284,315,18,242,4375,1,45.0,3.0
33,Malaysia,4817,134,77,1,2276,2464,66,149.0,2.0
34,Mexico,4661,442,296,23,1843,2522,185,36.0,2.0
35,Indonesia,4557,316,399,26,380,3778,0,17.0,1.0
36,Saudi Arabia,4462,0,59,0,761,3642,67,128.0,2.0
37,UAE,4123,0,22,0,680,3421,1,417.0,2.0
38,Serbia,3630,0,80,0,400,3150,146,415.0,9.0
39,Panama,3400,0,87,0,29,3284,106,788.0,20.0
40,Luxembourg,3281,0,66,0,500,2715,30,5241.0,105.0
41,Qatar,3231,252,7,0,334,2890,37,1121.0,2.0
42,Ukraine,3102,325,93,10,97,2912,45,71.0,2.0
43,Finland,3064,90,59,3,300,2705,74,553.0,11.0
44,Dominican Republic,2967,0,173,0,131,2663,147,274.0,16.0
45,Belarus,2919,341,29,3,203,2687,55,309.0,3.0
46,Colombia,2776,0,109,0,270,2397,92,55.0,2.0
47,Thailand,2579,28,40,2,1288,1251,61,37.0,0.6
48,Singapore,2532,0,8,0,560,1964,31,433.0,1.0
49,Argentina,2208,66,95,5,468,1645,83,49.0,2.0
50,South Africa,2173,0,25,0,410,1738,7,37.0,0.4
51,Greece,2114,0,98,0,269,1747,76,203.0,9.0
52,Egypt,2065,0,159,0,589,1317,0,20.0,2.0
53,Algeria,1914,0,293,0,591,1030,60,44.0,7.0
54,Morocco,1746,85,120,2,196,1430,1,47.0,3.0
55,Iceland,1701,0,8,0,889,804,10,4985.0,23.0
56,Moldova,1662,0,35,4,107,1520,80,412.0,9.0
57,Croatia,1650,50,25,2,400,1225,34,402.0,6.0
58,Hungary,1458,48,109,10,120,1229,58,151.0,11.0
59,Iraq,1352,0,76,0,640,636,0,34.0,2.0
60,New Zealand,1349,19,5,1,546,798,4,280.0,1.0
61,Bahrain,1348,212,6,0,591,751,4,792.0,4.0
62,Estonia,1332,23,27,2,102,1203,9,1004.0,20.0
63,Kuwait,1300,66,2,1,150,1148,26,304.0,0.5
64,Slovenia,1212,7,55,2,152,1005,34,583.0,26.0
65,Azerbaijan,1098,0,11,0,250,837,27,108.0,1.0
66,Lithuania,1062,9,24,1,101,937,14,390.0,9.0
67,Armenia,1039,26,14,1,211,814,30,351.0,5.0
68,Bosnia and Herzegovina,1030,21,39,0,206,785,4,314.0,12.0
69,Hong Kong,1010,5,4,0,397,609,13,135.0,0.5
70,Kazakhstan,979,28,12,2,110,857,21,52.0,0.6
71,Uzbekistan,896,31,4,0,70,822,8,27.0,0.1
72,North Macedonia,854,26,38,4,44,772,15,410.0,18.0
73,Cameroon,820,0,12,0,98,710,0,31.0,0.5
74,Bangladesh,803,182,39,5,42,722,1,5.0,0.2
75,Slovakia,769,27,2,0,107,660,5,141.0,0.4
76,Oman,727,128,4,0,124,599,3,142.0,0.8
77,Diamond Princess,712,0,11,0,619,82,10,0.0,0.0
78,Tunisia,707,0,31,0,43,633,89,60.0,3.0
79,Bulgaria,676,1,31,2,71,574,36,97.0,4.0
80,Cuba,669,0,18,0,92,559,11,59.0,2.0
81,Afghanistan,665,58,21,3,32,612,0,17.0,0.5
82,Latvia,655,4,5,0,16,634,2,347.0,3.0
83,Andorra,638,0,29,0,128,481,17,8257.0,375.0
84,Cyprus,633,0,11,0,65,557,8,524.0,9.0
85,Lebanon,632,2,20,0,80,532,34,93.0,3.0
86,Costa Rica,595,0,3,0,56,536,14,117.0,0.6
87,Ivory Coast,574,0,5,0,85,484,0,22.0,0.2
88,Ghana,566,0,8,0,4,554,2,18.0,0.3
89,Niger,529,0,12,0,75,442,0,22.0,0.5
90,Burkina Faso,497,0,27,0,161,309,0,24.0,1.0
91,Uruguay,480,0,8,1,231,241,15,138.0,2.0
92,Albania,467,21,23,0,232,212,7,162.0,8.0
93,Channel Islands,431,0,9,0,48,374,0,2479.0,52.0
94,Kyrgyzstan,419,42,5,0,67,347,5,64.0,0.8
95,Honduras,397,4,25,0,7,365,10,40.0,3.0
96,Taiwan,393,5,6,0,114,273,0,17.0,0.3
97,Jordan,389,0,7,0,201,181,5,38.0,0.7
98,Réunion,389,0,0,0,40,349,3,434.0,0.0
99,Malta,384,6,3,0,44,337,4,870.0,7.0
100,San Marino,356,0,35,0,53,268,14,10492.0,1032.0
101,Bolivia,330,30,27,3,2,301,3,28.0,2.0
102,Mauritius,324,0,9,0,42,273,3,255.0,7.0
103,Nigeria,323,0,10,0,85,228,2,2.0,0.05
104,Senegal,291,11,2,0,178,111,1,17.0,0.1
105,Palestine,290,0,2,0,58,230,0,57.0,0.4
106,Montenegro,273,1,3,0,5,265,7,435.0,5.0
107,Georgia,266,9,3,0,67,196,6,67.0,0.8
108,Vietnam,265,3,0,0,145,120,8,3.0,0.0
109,Guinea,250,0,0,0,17,233,0,19.0,0.0
110,DRC,235,1,20,0,17,198,0,3.0,0.2
111,Isle of Man,232,4,2,0,131,99,13,2728.0,24.0
112,Sri Lanka,214,4,7,0,56,151,1,10.0,0.3
113,Djibouti,214,0,2,0,36,176,0,217.0,2.0
114,Kenya,197,0,8,0,25,164,2,4.0,0.1
115,Mayotte,196,0,3,0,59,134,3,718.0,11.0
116,Faeroe Islands,184,0,0,0,157,27,0,3766.0,0.0
117,Venezuela,181,0,9,0,93,79,6,6.0,0.3
118,Martinique,157,2,6,0,50,101,19,418.0,16.0
119,Guatemala,155,0,5,0,19,131,3,9.0,0.3
120,Paraguay,147,13,6,0,22,119,1,21.0,0.8
121,Guadeloupe,143,0,8,0,67,68,13,357.0,20.0
122,El Salvador,137,12,6,0,22,109,2,21.0,0.9
123,Brunei,136,0,1,0,107,28,2,311.0,2.0
124,Gibraltar,129,0,0,0,84,45,1,3829.0,0.0
125,Rwanda,126,0,0,0,25,101,0,10.0,0.0
126,Cambodia,122,0,0,0,77,45,1,7.0,0.0
127,Trinidad and Tobago,113,0,8,0,16,89,0,81.0,6.0
128,Madagascar,106,0,0,0,20,86,1,4.0,0.0
129,Mali,105,0,9,0,22,74,0,5.0,0.4
130,Monaco,93,0,1,0,6,86,5,2370.0,25.0
131,Aruba,92,0,0,0,32,60,1,862.0,0.0
132,French Guiana,86,0,0,0,51,35,1,288.0,0.0
133,Liechtenstein,79,0,1,0,55,23,0,2072.0,26.0
134,Togo,76,0,3,0,29,44,0,9.0,0.4
135,Ethiopia,74,3,3,0,14,57,0,0.6,0.03
136,Jamaica,72,0,4,0,16,52,0,24.0,1.0
137,Barbados,71,0,4,0,11,56,4,247.0,14.0
138,Congo,60,0,5,0,5,50,0,11.0,0.9
139,Bermuda,57,0,4,0,29,24,2,915.0,64.0
140,Gabon,57,8,1,0,1,55,0,26.0,0.4
141,Uganda,54,0,0,0,4,50,0,1.0,0.0
142,Cayman Islands,53,0,1,0,6,46,3,806.0,15.0
143,French Polynesia,53,0,0,0,0,53,1,189.0,0.0
144,Sint Maarten,50,0,9,0,5,36,2,1166.0,210.0
145,Liberia,50,0,5,0,4,41,0,10.0,1.0
146,Bahamas,47,1,8,0,6,33,1,120.0,20.0
147,Tanzania,46,14,3,0,7,36,0,0.8,0.05
148,Guyana,45,0,6,0,8,31,3,57.0,8.0
149,Macao,45,0,0,0,10,35,1,69.0,0.0
150,Zambia,43,0,2,0,30,11,1,2.0,0.1
151,Myanmar,41,0,4,0,2,35,0,0.8,0.07
152,Guinea-Bissau,38,0,0,0,0,38,0,19.0,0.0
153,Benin,35,0,1,0,5,29,0,3.0,0.08
154,Eritrea,34,0,0,0,0,34,0,10.0,0.0
155,Haiti,33,0,3,0,0,30,0,3.0,0.3
156,Saint Martin,32,0,2,0,11,19,5,828.0,52.0
157,Somalia,25,0,2,1,2,21,2,2.0,0.1
158,Syria,25,0,2,0,5,18,0,1.0,0.1
159,Libya,25,0,1,0,9,15,0,4.0,0.1
160,Antigua and Barbuda,23,2,2,0,0,21,1,235.0,20.0
161,Equatorial Guinea,21,0,0,0,3,18,0,15.0,0.0
162,Mozambique,21,0,0,0,2,19,0,0.7,0.0
163,Maldives,20,0,0,0,14,6,0,37.0,0.0
164,Angola,19,0,2,0,4,13,0,0.6,0.06
165,Sudan,19,0,2,0,4,13,0,0.4,0.05
166,Laos,19,0,0,0,0,19,0,3.0,0.0
167,Chad,18,0,0,0,2,16,0,1.0,0.0
168,New Caledonia,18,0,0,0,1,17,0,63.0,0.0
169,Mongolia,17,1,0,0,4,13,0,5.0,0.0
170,Dominica,16,0,0,0,8,8,0,222.0,0.0
171,Fiji,16,0,0,0,0,16,0,18.0,0.0
172,Namibia,16,0,0,0,3,13,0,6.0,0.0
173,Saint Lucia,15,0,0,0,4,11,0,82.0,0.0
174,Zimbabwe,14,0,3,0,0,11,0,0.9,0.2
175,Belize,14,0,2,0,0,12,1,35.0,5.0
176,Curaçao,14,0,1,0,8,5,0,85.0,6.0
177,Nepal,14,2,0,0,1,13,0,0.5,0.0
178,Grenada,14,0,0,0,0,14,2,124.0,0.0
179,Eswatini,14,0,0,0,7,7,0,12.0,0.0
180,Malawi,13,0,2,0,0,11,1,0.7,0.1
181,Botswana,13,0,1,0,0,12,0,6.0,0.4
182,Saint Kitts and Nevis,12,0,0,0,0,12,0,226.0,0.0
183,St. Vincent Grenadines,12,0,0,0,1,11,0,108.0,0.0
184,CAR,11,3,0,0,3,8,0,2.0,0.0
185,Greenland,11,0,0,0,11,0,0,194.0,0.0
186,Montserrat,11,2,0,0,1,10,1,2204.0,0.0
187,Seychelles,11,0,0,0,0,11,0,112.0,0.0
188,Cabo Verde,10,2,1,0,1,8,0,18.0,2.0
189,Suriname,10,0,1,0,4,5,0,17.0,2.0
190,Sierra Leone,10,0,0,0,0,10,0,1.0,0.0
191,MS Zaandam,9,0,2,0,0,7,0,0.0,0.0
192,Gambia,9,0,1,0,2,6,0,4.0,0.4
193,Nicaragua,9,0,1,0,4,4,0,1.0,0.2
194,Turks and Caicos,9,0,1,0,0,8,0,232.0,26.0
195,Vatican City,8,0,0,0,2,6,0,9988.0,0.0
196,Mauritania,7,0,1,0,2,4,0,2.0,0.2
197,St. Barth,6,0,0,0,4,2,0,607.0,0.0
198,Western Sahara,6,0,0,0,0,6,0,10.0,0.0
199,Bhutan,5,0,0,0,2,3,0,6.0,0.0
200,Burundi,5,0,0,0,0,5,0,0.4,0.0
201,Falkland Islands,5,0,0,0,1,4,0,1437.0,0.0
202,Sao Tome and Principe,4,0,0,0,0,4,0,18.0,0.0
203,South Sudan,4,0,0,0,0,4,0,0.4,0.0
204,Timor-Leste,4,2,0,0,1,3,0,3.0,0.0
205,Anguilla,3,0,0,0,1,2,0,200.0,0.0
206,British Virgin Islands,3,0,0,0,2,1,0,99.0,0.0
207,Caribbean Netherlands,3,0,0,0,0,3,0,114.0,0.0
208,Papua New Guinea,2,0,0,0,0,2,0,0.2,0.0
209,Saint Pierre Miquelon,1,0,0,0,0,1,0,173.0,0.0
210,Yemen,1,0,0,0,0,1,0,0.03,0.0
211,China,82160,108,3341,2,77663,1156,121,57.0,2.0
